normalized,display,value
"148/2/p","148/૨/p ~~","148/૨/p ~~ "
"149/1","149/૧ ~~","149/૧ ~~ "
"149/2","149/૨ ~~","149/૨ ~~ "
"150/1","150/૧ ~~","150/૧ ~~ "
"150/2","150/૨ ~~","150/૨ ~~ "
"151/1","151/૧ ~~","151/૧ ~~ "
"151/2","151/૨ ~~","151/૨ ~~ "
"152","152 ~~","152 ~~ "
"153/1","153/૧ ~~","153/૧ ~~ "
"153/2","153/૨ ~~","153/૨ ~~ "
"153/3","153/૩ ~~","153/૩ ~~ "
"154","154 ~~","154 ~~ "
"154/p","154/p ~~","154/p ~~ "
"155/1અ","155/૧અ ~~","155/૧અ ~~ "
"155/1બ","155/૧બ ~~","155/૧બ ~~ "
"155/2અ","155/૨અ ~~","155/૨અ ~~ "
"155/3","155/૩ ~~","155/૩ ~~ "
"155/4","155/૪ ~~","155/૪ ~~ "
"156/1","156/૧ ~~","156/૧ ~~ "
"156/2","156/૨ ~~","156/૨ ~~ "
"157/1","157/૧ ~~","157/૧ ~~ "
"157/2/p1","157/૨/p૧ ~~","157/૨/p૧ ~~ "
"157/2/p2","157/૨/p૨ ~~","157/૨/p૨ ~~ "
"158","158 ~~","158 ~~ "
"159","159 ~~","159 ~~ "
"160/1","160/૧ ~~","160/૧ ~~ "
"160/2","160/૨ ~~","160/૨ ~~ "
"160/3/p1","160/૩/p૧ ~~","160/૩/p૧ ~~ "
"160/3/p2","160/૩/p૨ ~~","160/૩/p૨ ~~ "
"161/1","161/૧ ~~","161/૧ ~~ "
"161/2","161/૨ ~~","161/૨ ~~ "
"162/1","162/૧ ~~","162/૧ ~~ "
"162/2","162/૨ ~~","162/૨ ~~ "
"162/3","162/૩ ~~","162/૩ ~~ "
"162/4","162/૪ ~~","162/૪ ~~ "
"162/6","162/૬ ~~","162/૬ ~~ "
"162/p","162/પ ~~","162/પ ~~ "
"163/p2","163/p૨ ~~","163/p૨ ~~ "
"163p1","163p૧ ~~","163p૧ ~~ "
"164","164 ~~","164 ~~ "
"165/p","165/p ~~","165/p ~~ "
"166/1","166/૧ ~~","166/૧ ~~ "
"166/2","166/૨ ~~","166/૨ ~~ "
"166/3","166/૩ ~~","166/૩ ~~ "
"167/1","167/૧ ~~","167/૧ ~~ "
"167/2","167/૨ ~~","167/૨ ~~ "
"168","168 ~~","168 ~~ "
"169","169 ~~","169 ~~ "
"170","170 ~~","170 ~~ "
"171/1","171/૧ ~~","171/૧ ~~ "
"171/2/p1","171/૨/p૧ ~~","171/૨/p૧ ~~ "
"171/2/p2","171/૨/p૨ ~~","171/૨/p૨ ~~ "
"172/1","172/૧ ~~","172/૧ ~~ "
"172/2","172/૨ ~~","172/૨ ~~ "
"173","173 ~~","173 ~~ "
"174","174 ~~","174 ~~ "
"175","175 ~~","175 ~~ "
"176","176 ~~","176 ~~ "
